timestamp,tp2,tp3,h1,dv_pressure,reservoirs,oil_temperature,motor_current,comp,dv_electric,towers,mpg,lps,pressure_switch,oil_level,caudal_impulses
2020-05-29 12:00:02,-0.0079999999999991,9.8,9.786,-0.0159999999999982,9.8,71.7,3.6875,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:00:12,-0.009999999999998,9.778,9.766,-0.0159999999999982,9.78,71.725,3.6999999999999993,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:00:22,-0.009999999999998,9.76,9.746,-0.0159999999999982,9.762,71.625,3.715,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:00:32,-0.009999999999998,9.734,9.72,-0.0159999999999982,9.734,71.52499999999999,3.745000000000001,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:00:41,-0.009999999999998,9.7,9.686,-0.0159999999999982,9.702,71.15,3.77,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:00:51,-0.009999999999998,9.682,9.668,-0.0159999999999982,9.684,70.825,3.8000000000000007,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:01:01,-0.009999999999998,9.664,9.652,-0.0180000000000006,9.666,70.35,3.8000000000000007,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:01:11,-0.0079999999999991,9.648,9.632,-0.0159999999999982,9.648,69.6,3.754999999999999,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:01:21,-0.009999999999998,9.624,9.61,-0.0180000000000006,9.626,69.12499999999999,3.7375000000000007,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:01:31,-0.009999999999998,9.596,9.582,-0.0159999999999982,9.596,68.9,3.6975,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:01:41,-0.0079999999999991,9.578,9.566,-0.0159999999999982,9.578,68.825,3.6775,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:01:51,-0.0079999999999991,9.56,9.548,-0.0159999999999982,9.56,68.85,3.7675,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:02:01,-0.009999999999998,9.542,9.53,-0.0159999999999982,9.544,68.9,3.692499999999999,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:02:11,-0.009999999999998,9.526,9.514,-0.0159999999999982,9.528,68.8,3.6725,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:02:21,-0.009999999999998,9.51,9.496,-0.0180000000000006,9.51,68.625,3.774999999999999,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:02:30,-0.009999999999998,9.492,9.48,-0.0180000000000006,9.492,68.35,3.6675,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:02:40,-0.0079999999999991,9.478,9.468,-0.0159999999999982,9.478,68.12499999999999,3.75,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:02:50,-0.0120000000000004,9.46,9.446,-0.0180000000000006,9.456,68.25000000000001,3.68,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:03:00,-0.009999999999998,9.442,9.428,-0.0159999999999982,9.442,68.45000000000002,3.6625,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:03:10,-0.009999999999998,9.424,9.414,-0.0139999999999993,9.428,68.725,3.774999999999999,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:03:20,-0.009999999999998,9.406,9.394,-0.0199999999999995,9.408,68.9,3.6675,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:03:30,-0.009999999999998,9.388,9.378,-0.0159999999999982,9.392,69.025,3.6750000000000007,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:03:40,-0.0079999999999991,9.372,9.36,-0.0180000000000006,9.376,68.95,3.7525,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:03:50,-0.009999999999998,9.356,9.342,-0.0159999999999982,9.358,68.825,3.7675,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:04:00,-0.009999999999998,9.336,9.324,-0.0180000000000006,9.338,68.675,3.6725,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:04:10,-0.0079999999999991,9.32,9.31,-0.0180000000000006,9.32,68.825,3.702500000000001,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:04:19,-0.009999999999998,9.304,9.292,-0.0159999999999982,9.304,69.10000000000001,3.7775,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:04:29,-0.009999999999998,9.286,9.274,-0.0159999999999982,9.288,69.32499999999999,3.6775,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:04:39,-0.009999999999998,9.27,9.256,-0.0159999999999982,9.272,69.425,3.6975,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:04:49,-0.0079999999999991,9.254,9.242,-0.0159999999999982,9.254,69.44999999999999,3.7375000000000007,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:04:59,-0.009999999999998,9.236,9.226,-0.0159999999999982,9.238,69.32499999999999,3.7525,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:05:09,-0.009999999999998,9.216,9.204,-0.0180000000000006,9.218,69.04999999999998,0.0424999999999995,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-05-29 12:05:19,-0.0079999999999991,9.202,9.192,-0.0159999999999982,9.204,69.12499999999999,0.0424999999999995,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
